Width,Height
1920,869
1285,396,1736277971301
1270,396,1736277971310
1216,396,1736277971319
1196,396,1736277971328
1177,396,1736277971338
1160,396,1736277971347
1151,398,1736277971356
1145,398,1736277971365
1137,398,1736277971374
1130,398,1736277971383
1128,398,1736277971393
1124,398,1736277971402
1122,398,1736277971412
1121,397,1736277971422
1120,397,1736277971431
1119,397,1736277971441
1118,397,1736277971450
1118,396,1736277971460
1118,395,1736277971471
1118,393,1736277971480
1119,389,1736277971490
1120,387,1736277971499
1122,384,1736277971508
1124,381,1736277971517
1127,376,1736277971526
1132,370,1736277971535
1142,362,1736277971545
1149,357,1736277971555
1157,354,1736277971567
1169,351,1736277971576
1185,349,1736277971585
1193,348,1736277971595
1201,348,1736277971604
1213,348,1736277971613
1227,348,1736277971623
1235,348,1736277971632
1239,348,1736277971640
1246,348,1736277971650
1257,351,1736277971659
1265,352,1736277971668
1269,354,1736277971677
1276,356,1736277971686
1285,360,1736277971695
1292,363,1736277971705
1305,372,1736277971714
1312,378,1736277971723
1318,382,1736277971732
1320,386,1736277971741
1322,388,1736277971751
1322,390,1736277971760
1323,392,1736277971769
1323,395,1736277971779
1321,398,1736277971787
1320,400,1736277971796
1318,401,1736277971806
1316,402,1736277971815
1313,403,1736277971824
1307,404,1736277971834
1300,405,1736277971843
1290,406,1736277971852
1259,406,1736277971861
1229,406,1736277971870
1207,402,1736277971880
1185,396,1736277971888
1155,388,1736277971897
1123,382,1736277971907
1103,376,1736277971916
1086,371,1736277971924
1072,365,1736277971934
1070,364,1736277971943
1068,364,1736277971952
1068,363,1736277971961
1068,362,1736277971970
1070,360,1736277971980
1073,358,1736277971989
1081,354,1736277971998
1094,349,1736277972011
1139,332,1736277972031
1185,324,1736277972048
1230,322,1736277972060
1252,320,1736277972070
1282,320,1736277972079
1297,320,1736277972087
1313,321,1736277972097
1334,327,1736277972106
1343,329,1736277972115
1349,333,1736277972125
1353,338,1736277972133
1353,341,1736277972143
1352,344,1736277972152
1351,347,1736277972161
1349,350,1736277972170
1342,356,1736277972179
1336,358,1736277972188
1332,361,1736277972197
1324,363,1736277972207
1302,371,1736277972216
1258,381,1736277972225
1224,387,1736277972234
1192,395,1736277972243
1162,403,1736277972252
1122,413,1736277972261
1092,421,1736277972271
1055,427,1736277972280
1039,427,1736277972289
1007,429,1736277972298
977,429,1736277972308
959,429,1736277972316
941,429,1736277972326
921,431,1736277972335
884,431,1736277972344
871,431,1736277972353
861,431,1736277972362
855,429,1736277972372
834,423,1736277972382
829,421,1736277972391
826,420,1736277972400
823,419,1736277972409
820,418,1736277972418
815,416,1736277972428
807,414,1736277972437
798,413,1736277972446
786,413,1736277972455
768,411,1736277972464
746,411,1736277972473
710,411,1736277972482
686,411,1736277972491
664,411,1736277972501
644,411,1736277972510
627,411,1736277972519
600,409,1736277972528
560,407,1736277972537
551,405,1736277972547
535,404,1736277972556
523,402,1736277972565
518,401,1736277972575
505,399,1736277972584
503,398,1736277972592
501,398,1736277972602
501,397,1736277972611
501,396,1736277972619
501,393,1736277972629
502,390,1736277972638
506,386,1736277972647
514,379,1736277972656
522,373,1736277972665
527,369,1736277972675
545,360,1736277972684
555,357,1736277972693
566,355,1736277972702
589,354,1736277972711
611,352,1736277972720
635,352,1736277972730
650,354,1736277972739
657,355,1736277972748
673,359,1736277972757
677,363,1736277972766
680,367,1736277972775
680,369,1736277972784
680,372,1736277972793
679,375,1736277972803
675,379,1736277972811
671,382,1736277972820
667,384,1736277972830
665,385,1736277972839
659,387,1736277972848
653,388,1736277972861
641,388,1736277972873
624,389,1736277972886
617,389,1736277972895
610,385,1736277972905
609,383,1736277972915
606,380,1736277972925
606,379,1736277972934
606,378,1736277972944
606,377,1736277972954
606,375,1736277972964
608,374,1736277972973
610,372,1736277972982
614,370,1736277972992
620,366,1736277973001
640,362,1736277973010
662,360,1736277973020
677,360,1736277973029
699,360,1736277973038
710,360,1736277973048
715,361,1736277973057
718,363,1736277973067
720,368,1736277973076
720,373,1736277973085
720,377,1736277973095
720,380,1736277973104
720,381,1736277973114
719,382,1736277973123
716,384,1736277973132
710,386,1736277973141
704,387,1736277973151
678,391,1736277973160
657,391,1736277973170
640,391,1736277973180
623,391,1736277973189
612,389,1736277973199
578,381,1736277973208
572,378,1736277973217
562,371,1736277973226
555,363,1736277973235
550,349,1736277973247
548,343,1736277973256
548,337,1736277973265
550,332,1736277973275
554,326,1736277973284
560,321,1736277973293
564,320,1736277973302
571,318,1736277973311
586,314,1736277973320
600,313,1736277973330
632,311,1736277973339
646,311,1736277973348
652,311,1736277973358
661,314,1736277973367
664,316,1736277973377
670,324,1736277973386
671,332,1736277973396
672,337,1736277973405
672,347,1736277973414
672,364,1736277973424
670,369,1736277973435
668,371,1736277973444
666,373,1736277973454
658,375,1736277973465
652,376,1736277973476
643,379,1736277973489
616,379,1736277973503
593,379,1736277973518
552,369,1736277973532
525,358,1736277973544
520,354,1736277973554
519,351,1736277973564
520,342,1736277973574
525,338,1736277973583
530,334,1736277973592
535,331,1736277973601
544,328,1736277973611
551,327,1736277973620
558,327,1736277973629
566,326,1736277973639
573,326,1736277973648
585,326,1736277973660
592,329,1736277973671
602,337,1736277973680
607,341,1736277973690
612,343,1736277973700
615,345,1736277973709
617,346,1736277973719
620,348,1736277973729
621,348,1736277973739
