Width,Height
1920,869
689,156,1736273592113
669,156,1736273592123
665,156,1736273592132
661,155,1736273592141
660,154,1736273592150
659,154,1736273592158
659,153,1736273592166
659,152,1736273592314
659,149,1736273592323
658,144,1736273592331
656,136,1736273592339
653,125,1736273592348
651,120,1736273592356
646,104,1736273592365
643,94,1736273592373
642,85,1736273592381
642,80,1736273592389
642,78,1736273592398
643,78,1736273592406
643,77,1736273592415
645,76,1736273592423
646,75,1736273592432
647,75,1736273592440
648,75,1736273592449
649,75,1736273592460
649,74,1736273592468
650,74,1736273592477
650,73,1736273592490
650,72,1736273592499
651,71,1736273592508
651,70,1736273592516
651,69,1736273592524
652,68,1736273592532
652,67,1736273592541
652,66,1736273592548
653,65,1736273592557
653,63,1736273592565
653,61,1736273592573
653,59,1736273592582
654,56,1736273592590
654,53,1736273592598
654,50,1736273592606
654,47,1736273592615
654,46,1736273592624
654,45,1736273592633
654,47,1736273592731
654,50,1736273592744
654,60,1736273592754
654,65,1736273592763
654,68,1736273592771
655,72,1736273592779
655,75,1736273592788
655,80,1736273592796
656,83,1736273592805
656,87,1736273592813
656,92,1736273592821
657,95,1736273592830
657,100,1736273592839
658,110,1736273592847
658,115,1736273592856
659,118,1736273592865
659,122,1736273592873
658,127,1736273592882
657,130,1736273592890
656,136,1736273592898
653,140,1736273592906
652,145,1736273592914
652,147,1736273592923
652,148,1736273592942
653,149,1736273592954
653,150,1736273592962
655,152,1736273592971
657,154,1736273592979
660,156,1736273592988
661,156,1736273592995
663,157,1736273593004
664,158,1736273593012
665,158,1736273593022
666,158,1736273593038
667,157,1736273593046
668,156,1736273593054
669,154,1736273593062
671,153,1736273593071
672,150,1736273593079
674,148,1736273593087
676,144,1736273593095
679,139,1736273593103
679,134,1736273593112
680,132,1736273593120
680,130,1736273593129
680,128,1736273593137
680,126,1736273593145
680,125,1736273593153
680,124,1736273593162
681,122,1736273593170
681,121,1736273593178
682,120,1736273593186
684,118,1736273593194
686,117,1736273593203
689,116,1736273593211
692,114,1736273593220
698,113,1736273593228
712,109,1736273593241
719,109,1736273593250
725,108,1736273593258
740,106,1736273593267
751,106,1736273593276
763,106,1736273593284
774,110,1736273593293
783,113,1736273593301
796,116,1736273593309
805,119,1736273593317
811,122,1736273593326
813,124,1736273593334
816,125,1736273593343
818,126,1736273593351
819,127,1736273593359
819,127,1736273593426
819,126,1736273593442
818,124,1736273593451
816,121,1736273593459
811,116,1736273593467
807,112,1736273593475
804,107,1736273593483
802,104,1736273593491
799,99,1736273593499
797,93,1736273593507
793,83,1736273593516
789,74,1736273593524
785,64,1736273593533
780,41,1736273593543
778,34,1736273593551
777,28,1736273593560
776,24,1736273593568
776,23,1736273593577
775,22,1736273593592
775,21,1736273593601
775,21,1736273593632
776,21,1736273593653
776,20,1736273593672
777,20,1736273593681
779,20,1736273593689
781,21,1736273593698
784,23,1736273593706
786,25,1736273593715
787,27,1736273593724
789,29,1736273593732
790,31,1736273593741
791,35,1736273593749
792,38,1736273593757
794,41,1736273593765
794,42,1736273593773
794,43,1736273593781
794,44,1736273593789
794,46,1736273593797
792,47,1736273593806
789,49,1736273593814
785,51,1736273593823
781,51,1736273593831
778,52,1736273593839
775,52,1736273593847
773,52,1736273593855
771,52,1736273593864
771,51,1736273593880
771,50,1736273593889
771,47,1736273593897
773,46,1736273593905
773,45,1736273593913
775,44,1736273593921
778,43,1736273593929
780,43,1736273593938
783,43,1736273593947
786,43,1736273593956
789,43,1736273593965
790,43,1736273593973
790,44,1736273593988
790,45,1736273593996
790,47,1736273594005
790,48,1736273594014
789,50,1736273594023
788,52,1736273594031
785,53,1736273594039
783,54,1736273594048
782,54,1736273594056
780,54,1736273594064
778,54,1736273594072
777,54,1736273594080
777,53,1736273594110
777,52,1736273594122
778,51,1736273594134
780,50,1736273594142
784,49,1736273594150
792,48,1736273594159
804,48,1736273594168
820,48,1736273594177
827,48,1736273594186
834,49,1736273594194
842,55,1736273594204
847,59,1736273594212
850,62,1736273594220
853,67,1736273594229
853,71,1736273594237
853,74,1736273594245
853,79,1736273594254
851,81,1736273594262
849,82,1736273594270
847,82,1736273594278
844,82,1736273594286
841,82,1736273594294
836,82,1736273594302
832,78,1736273594310
828,76,1736273594318
825,73,1736273594327
822,68,1736273594335
819,65,1736273594344
817,62,1736273594353
815,58,1736273594361
815,55,1736273594369
815,53,1736273594377
815,52,1736273594385
815,51,1736273594393
815,50,1736273594408
816,50,1736273594428
817,50,1736273594436
818,51,1736273594444
819,53,1736273594452
819,56,1736273594460
820,61,1736273594469
820,64,1736273594477
820,67,1736273594485
820,68,1736273594494
820,69,1736273594510
819,69,1736273594519
816,69,1736273594527
813,70,1736273594535
807,67,1736273594543
801,63,1736273594551
792,58,1736273594561
784,50,1736273594569
780,45,1736273594577
777,40,1736273594585
774,37,1736273594593
774,34,1736273594601
774,33,1736273594609
774,32,1736273594617
774,31,1736273594625
776,29,1736273594634
778,28,1736273594642
781,28,1736273594650
783,28,1736273594658
786,28,1736273594666
787,28,1736273594674
788,29,1736273594683
789,30,1736273594691
793,39,1736273594699
794,44,1736273594707
796,54,1736273594715
796,61,1736273594724
796,65,1736273594733
796,69,1736273594741
796,70,1736273594756
796,70,1736273594766
795,70,1736273594774
794,70,1736273594783
790,68,1736273594790
786,64,1736273594800
781,58,1736273594809
778,52,1736273594819
774,44,1736273594827
771,37,1736273594835
768,31,1736273594843
768,27,1736273594851
768,22,1736273594862
770,21,1736273594871
772,20,1736273594879
775,19,1736273594887
778,18,1736273594895
780,18,1736273594904
781,18,1736273594912
782,18,1736273594920
783,18,1736273594930
783,20,1736273594938
786,26,1736273594947
787,30,1736273594956
787,39,1736273594964
788,43,1736273594972
788,47,1736273594980
788,49,1736273594988
788,51,1736273594996
788,52,1736273595004
787,53,1736273595012
786,54,1736273595021
781,55,1736273595036
778,55,1736273595046
771,53,1736273595054
769,50,1736273595062
765,47,1736273595070
763,44,1736273595079
763,42,1736273595087
763,41,1736273595095
763,39,1736273595103
765,38,1736273595111
767,37,1736273595120
769,36,1736273595128
770,35,1736273595136
773,34,1736273595144
775,33,1736273595152
779,33,1736273595161
781,33,1736273595169
784,33,1736273595177
786,33,1736273595185
787,35,1736273595193
789,37,1736273595201
790,41,1736273595209
793,47,1736273595217
793,52,1736273595225
793,55,1736273595233
793,58,1736273595241
793,59,1736273595249
792,61,1736273595257
790,61,1736273595265
788,61,1736273595273
785,61,1736273595282
783,61,1736273595290
779,61,1736273595298
775,58,1736273595306
773,56,1736273595314
768,52,1736273595322
764,45,1736273595330
760,40,1736273595338
758,33,1736273595347
758,29,1736273595355
758,25,1736273595364
759,24,1736273595372
764,21,1736273595387
766,20,1736273595395
769,20,1736273595403
771,19,1736273595411
775,19,1736273595419
778,19,1736273595427
784,20,1736273595440
787,22,1736273595449
789,26,1736273595458
793,33,1736273595466
794,35,1736273595474
794,38,1736273595482
794,39,1736273595490
794,40,1736273595498
794,41,1736273595506
793,42,1736273595514
791,43,1736273595522
785,44,1736273595530
782,45,1736273595538
774,45,1736273595546
769,45,1736273595554
765,45,1736273595562
762,45,1736273595570
759,43,1736273595578
757,41,1736273595586
756,40,1736273595594
755,38,1736273595602
755,36,1736273595610
756,35,1736273595618
758,33,1736273595626
760,31,1736273595634
763,30,1736273595642
766,29,1736273595650
770,28,1736273595658
773,28,1736273595667
775,28,1736273595674
778,28,1736273595682
779,29,1736273595690
780,32,1736273595699
784,39,1736273595707
787,48,1736273595715
788,52,1736273595723
788,64,1736273595731
788,65,1736273595739
788,68,1736273595748
788,69,1736273595762
787,69,1736273595774
786,69,1736273595786
783,67,1736273595795
780,63,1736273595804
777,58,1736273595812
775,54,1736273595820
772,47,1736273595828
771,43,1736273595836
770,39,1736273595844
770,38,1736273595852
770,37,1736273595861
772,35,1736273595870
774,34,1736273595879
777,33,1736273595887
783,33,1736273595895
786,33,1736273595903
788,33,1736273595911
789,34,1736273595920
790,36,1736273595928
792,39,1736273595936
793,42,1736273595943
794,46,1736273595952
794,51,1736273595961
794,53,1736273595968
794,56,1736273595976
793,58,1736273595984
792,59,1736273595992
791,60,1736273596001
790,60,1736273596008
787,60,1736273596016
785,60,1736273596024
781,60,1736273596032
779,59,1736273596040
776,57,1736273596049
771,52,1736273596056
770,49,1736273596064
768,44,1736273596072
765,37,1736273596080
765,34,1736273596088
766,31,1736273596096
769,30,1736273596104
774,29,1736273596112
781,29,1736273596120
789,29,1736273596128
800,29,1736273596136
810,30,1736273596144
822,34,1736273596152
840,43,1736273596161
842,45,1736273596170
844,47,1736273596178
844,49,1736273596186
844,50,1736273596193
842,52,1736273596202
840,53,1736273596210
836,54,1736273596218
829,56,1736273596226
822,56,1736273596234
816,56,1736273596244
