Width,Height
1920,869
1292,377,1736277608187
1298,369,1736277608194
1303,366,1736277608205
1309,365,1736277608212
1319,363,1736277608220
1331,363,1736277608227
1341,367,1736277608235
1363,376,1736277608242
1376,390,1736277608249
1381,396,1736277608256
1385,406,1736277608266
1385,413,1736277608273
1383,418,1736277608280
1372,429,1736277608288
1368,432,1736277608296
1360,433,1736277608303
1348,436,1736277608315
1331,436,1736277608322
1322,436,1736277608329
1308,433,1736277608336
1296,428,1736277608343
1287,422,1736277608349
1281,412,1736277608363
1278,408,1736277608370
1278,403,1736277608376
1279,398,1736277608383
1285,394,1736277608390
1292,390,1736277608397
1298,387,1736277608404
1310,384,1736277608411
1331,380,1736277608423
1351,380,1736277608431
1359,380,1736277608442
1377,382,1736277608449
1395,388,1736277608456
1402,391,1736277608463
1404,395,1736277608470
1405,397,1736277608476
1405,400,1736277608483
1404,404,1736277608490
1399,409,1736277608497
1392,414,1736277608508
1382,419,1736277608515
1371,422,1736277608522
1347,424,1736277608533
1332,424,1736277608540
1320,424,1736277608547
1310,424,1736277608553
1297,421,1736277608563
1287,414,1736277608570
1282,410,1736277608581
1282,406,1736277608588
1282,401,1736277608595
1284,394,1736277608601
1289,392,1736277608608
1295,389,1736277608615
1300,388,1736277608630
1313,388,1736277608637
1329,388,1736277608643
1340,391,1736277608649
1359,401,1736277608656
1370,408,1736277608662
1376,417,1736277608669
1377,425,1736277608677
1376,429,1736277608690
1371,437,1736277608697
1365,445,1736277608705
1349,455,1736277608712
1331,463,1736277608719
1315,467,1736277608726
1293,469,1736277608733
1279,469,1736277608740
1267,469,1736277608747
1259,466,1736277608757
1256,464,1736277608764
1254,461,1736277608775
1253,456,1736277608783
1253,450,1736277608790
1256,432,1736277608797
1262,418,1736277608803
1270,407,1736277608810
1285,398,1736277608818
1302,390,1736277608829
1316,388,1736277608836
1325,387,1736277608843
1342,385,1736277608849
1353,385,1736277608857
1357,387,1736277608863
1357,388,1736277608872
1357,391,1736277608880
1356,399,1736277608890
1353,406,1736277608898
1349,410,1736277608905
1341,415,1736277608912
1336,418,1736277608926
1328,419,1736277608934
1322,421,1736277608941
1320,421,1736277608948
1319,421,1736277608955
1319,420,1736277608969
1319,418,1736277608976
1320,415,1736277608984
1324,406,1736277608991
1328,398,1736277608998
1331,395,1736277609011
1334,392,1736277609018
1337,389,1736277609025
1341,388,1736277609031
1345,387,1736277609039
1348,387,1736277609054
1352,387,1736277609060
1357,387,1736277609067
1358,387,1736277609074
1357,387,1736277609139
1356,387,1736277609149
1353,389,1736277609157
1348,390,1736277609163
1345,393,1736277609170
1336,395,1736277609177
1325,400,1736277609185
1319,403,1736277609192
1307,408,1736277609205
1286,413,1736277609212
1260,419,1736277609219
1238,423,1736277609225
1208,427,1736277609232
1188,429,1736277609241
1164,433,1736277609248
1146,435,1736277609255
1132,439,1736277609266
1123,442,1736277609273
1112,445,1736277609280
1105,446,1736277609290
1099,449,1736277609297
1097,449,1736277609305
1094,450,1736277609312
1092,450,1736277609320
1089,450,1736277609332
1086,451,1736277609340
1083,451,1736277609347
1072,451,1736277609354
1064,451,1736277609361
1052,449,1736277609368
1046,449,1736277609375
1045,449,1736277609382
1046,448,1736277609399
1048,448,1736277609406
1051,448,1736277609413
1060,446,1736277609420
1076,444,1736277609429
1105,440,1736277609435
1125,436,1736277609443
1155,430,1736277609451
1185,424,1736277609459
1233,416,1736277609467
1263,412,1736277609475
1301,408,1736277609483
1337,406,1736277609490
1361,408,1736277609498
1374,412,1736277609508
1384,424,1736277609516
1385,426,1736277609523
1385,437,1736277609531
1381,444,1736277609539
1373,453,1736277609546
1364,460,1736277609556
1357,464,1736277609564
1349,464,1736277609570
1344,465,1736277609577
1340,465,1736277609584
1335,464,1736277609591
1333,462,1736277609599
1332,460,1736277609607
1332,457,1736277609615
1334,453,1736277609623
1339,442,1736277609629
1344,431,1736277609637
1355,416,1736277609645
1367,398,1736277609653
1380,388,1736277609666
1384,385,1736277609673
1401,381,1736277609680
1421,381,1736277609686
1436,381,1736277609696
1442,381,1736277609704
1452,385,1736277609711
1453,388,1736277609718
1454,390,1736277609725
1453,394,1736277609731
1448,400,1736277609745
1439,404,1736277609752
1428,409,1736277609759
1419,412,1736277609766
1407,414,1736277609773
1383,416,1736277609781
1368,416,1736277609788
1357,416,1736277609795
1350,414,1736277609801
1345,413,1736277609812
1344,412,1736277609819
1344,410,1736277609826
1346,407,1736277609835
