Width,Height
1920,869
447,189,1736277175916
457,193,1736277175959
459,209,1736277176002
459,252,1736277176045
443,458,1736277176087
433,505,1736277176130
433,504,1736277176273
454,447,1736277176320
566,343,1736277176362
802,307,1736277176404
950,295,1736277176446
1014,296,1736277176488
1014,298,1736277176530
1013,298,1736277176571
1001,305,1736277176612
931,362,1736277176655
819,478,1736277176699
776,516,1736277176740
768,522,1736277176782
767,531,1736277176823
834,554,1736277176865
1046,554,1736277176907
1206,550,1736277176948
1267,553,1736277176990
1267,552,1736277177031
1267,552,1736277177072
1266,552,1736277177161
1236,555,1736277177208
1083,549,1736277177249
861,509,1736277177290
687,505,1736277177331
652,504,1736277177372
653,504,1736277177413
654,504,1736277177469
662,495,1736277177512
663,491,1736277177553
649,482,1736277177594
623,460,1736277177636
634,425,1736277177679
657,388,1736277177720
671,376,1736277177762
672,375,1736277177803
676,367,1736277177844
676,366,1736277177935
674,364,1736277177981
673,364,1736277178029
512,365,1736277179580
512,365,1736277179719
500,398,1736277179769
461,477,1736277179812
446,496,1736277179855
439,512,1736277179899
434,535,1736277179942
450,568,1736277179986
460,581,1736277180028
464,569,1736277180069
481,474,1736277180110
552,375,1736277180152
682,325,1736277180195
860,311,1736277180254
998,337,1736277180295
1069,341,1736277180337
1179,337,1736277180380
1331,349,1736277180423
1396,347,1736277180466
1438,331,1736277180509
1441,330,1736277180551
1437,330,1736277180593
1406,352,1736277180636
1384,382,1736277180680
1380,392,1736277180723
1380,392,1736277180799
1388,392,1736277180846
1392,389,1736277180889
1393,371,1736277180931
1393,363,1736277180973
1393,362,1736277181014
1392,355,1736277181055
1392,354,1736277181104
1392,353,1736277181104
1344,351,1736277182279
1343,352,1736277182353
1290,361,1736277182402
1163,355,1736277182447
1029,351,1736277182491
950,372,1736277182536
935,397,1736277182582
921,427,1736277182625
904,450,1736277182667
896,457,1736277182708
891,460,1736277182750
891,459,1736277182796
890,457,1736277182837
890,449,1736277182882
891,446,1736277182924
892,446,1736277182971
1054,434,1736277184234
1055,434,1736277184327
1090,436,1736277184377
1189,441,1736277184420
1265,438,1736277184463
1267,438,1736277184504
1268,438,1736277184546
1276,438,1736277184588
1280,438,1736277184629
964,449,1736277185830
964,448,1736277185874
963,448,1736277185945
960,449,1736277185992
958,449,1736277186034
958,449,1736277186076
916,451,1736277187665
915,452,1736277187779
874,472,1736277187830
729,518,1736277187888
653,547,1736277187930
634,558,1736277187972
630,562,1736277188015
629,562,1736277188055
625,550,1736277188098
625,545,1736277188140
627,539,1736277188181
628,538,1736277188230
445,532,1736277189931
446,533,1736277189977
446,532,1736277190028
448,519,1736277190072
449,492,1736277190116
452,478,1736277190159
454,473,1736277190201
457,468,1736277190243
459,464,1736277190286
470,454,1736277190329
491,432,1736277190371
491,430,1736277190419
519,433,1736277191811
518,433,1736277192018
499,406,1736277192068
480,381,1736277192110
472,376,1736277192153
472,375,1736277192224
472,373,1736277192271
474,365,1736277192312
476,360,1736277192353
477,359,1736277192792
477,360,1736277192935
452,418,1736277192984
443,430,1736277193045
446,411,1736277193087
446,388,1736277193129
449,375,1736277193171
450,371,1736277193212
451,369,1736277193253
454,364,1736277193295
457,361,1736277193336
457,362,1736277194561
457,362,1736277194607
457,362,1736277194704
455,316,1736277194753
448,306,1736277194798
448,302,1736277194840
448,301,1736277194924
454,287,1736277194972
459,276,1736277195016
460,274,1736277195057
460,273,1736277195104
508,252,1736277196483
508,252,1736277196619
529,257,1736277196667
645,258,1736277196724
791,256,1736277196768
845,254,1736277196811
861,257,1736277196852
886,259,1736277196894
894,259,1736277196936
994,278,1736277198195
994,277,1736277198240
994,278,1736277198378
994,278,1736277198732
1012,249,1736277198781
1051,187,1736277198825
1060,179,1736277198868
1082,163,1736277198912
1088,160,1736277198956
1089,160,1736277199053
1090,166,1736277199101
1081,174,1736277199144
1047,182,1736277199187
1048,182,1736277199337
1066,181,1736277199388
1302,177,1736277199450
1421,175,1736277199495
1421,175,1736277199538
1411,176,1736277199579
1393,179,1736277199622
1362,184,1736277199662
1351,184,1736277199703
1350,184,1736277199744
1352,184,1736277199892
1337,187,1736277199941
1218,200,1736277199983
1026,202,1736277200024
917,198,1736277200066
894,197,1736277200108
890,195,1736277200150
882,192,1736277200192
880,191,1736277200233
879,191,1736277200386
845,198,1736277200433
704,200,1736277200480
578,193,1736277200526
540,187,1736277200572
521,186,1736277200614
474,188,1736277200655
438,192,1736277200698
435,205,1736277200740
439,248,1736277200782
443,293,1736277200824
446,296,1736277200867
446,300,1736277200910
443,321,1736277200951
437,366,1736277200993
441,395,1736277201035
457,446,1736277201094
457,443,1736277201135
431,348,1736277201177
429,228,1736277201218
441,212,1736277201259
445,208,1736277201301
457,201,1736277201342
464,200,1736277201383
476,201,1736277201425
514,188,1736277201467
527,182,1736277201508
528,182,1736277201572
530,181,1736277201618
530,180,1736277201678
530,180,1736277201786
531,180,1736277201847
540,180,1736277201890
539,180,1736277201955
539,180,1736277202001
538,180,1736277202053
538,180,1736277202096
537,180,1736277202140
537,180,1736277202259
527,182,1736277202305
508,185,1736277202349
450,191,1736277202393
438,191,1736277202437
431,188,1736277202480
430,187,1736277202521
433,185,1736277202564
457,169,1736277202605
467,149,1736277202645
472,136,1736277202687
472,135,1736277202750
471,136,1736277202926
472,136,1736277203019
528,133,1736277203065
744,141,1736277203105
982,147,1736277203146
1100,147,1736277203187
1102,147,1736277203228
1101,147,1736277203268
1100,147,1736277203309
999,149,1736277203349
799,153,1736277203390
563,155,1736277203430
470,159,1736277203471
468,159,1736277203512
467,158,1736277203552
466,156,1736277203593
469,149,1736277203634
491,127,1736277203675
522,121,1736277203716
545,119,1736277203757
562,119,1736277203798
592,120,1736277203838
640,123,1736277203880
682,123,1736277203920
686,123,1736277203960
686,124,1736277204116
686,124,1736277205813
696,138,1736277205861
724,159,1736277205903
790,191,1736277205945
866,235,1736277205988
994,293,1736277206031
1208,359,1736277206074
1294,410,1736277206116
1302,498,1736277206158
1300,534,1736277206199
1300,537,1736277206241
1301,537,1736277206295
1308,506,1736277206340
1321,400,1736277206383
1301,259,1736277206425
1265,150,1736277206468
1265,150,1736277206509
1265,150,1736277206553
1297,165,1736277206596
1336,209,1736277206638
1354,244,1736277206681
1362,316,1736277206723
1364,330,1736277206764
1364,368,1736277206805
1364,497,1736277206846
1362,531,1736277206889
1364,532,1736277206946
1365,532,1736277206988
1367,533,1736277207030
1367,534,1736277207096
1367,534,1736277207212
1366,532,1736277207258
1366,531,1736277207331
1366,530,1736277207381
1365,527,1736277207426
1365,525,1736277207468
1365,525,1736277207510
1365,524,1736277207566
1365,520,1736277207610
1365,519,1736277207651
1365,519,1736277207692
1365,518,1736277207733
1364,518,1736277207774
1355,506,1736277207816
1329,417,1736277207857
1328,352,1736277207898
1332,350,1736277207939
1333,352,1736277208005
1341,372,1736277208050
1348,388,1736277208092
1351,406,1736277208133
1359,437,1736277208175
1361,453,1736277208216
1362,467,1736277208256
1366,480,1736277208297
1367,480,1736277208337
1371,481,1736277208378
1383,488,1736277208419
1386,491,1736277208459
1351,495,1736277208500
1238,476,1736277208540
1152,459,1736277208581
1132,464,1736277208621
1130,469,1736277208663
1135,471,1736277208703
1153,473,1736277208744
1174,473,1736277208786
1164,475,1736277208828
1065,484,1736277208869
827,488,1736277208911
585,486,1736277208952
473,470,1736277208994
478,469,1736277209036
493,468,1736277209077
505,466,1736277209118
532,460,1736277209159
602,457,1736277209200
604,459,1736277209240
594,467,1736277209281
581,479,1736277209322
573,484,1736277209364
573,485,1736277209404
572,485,1736277209446
572,485,1736277209514
572,484,1736277209920
595,457,1736277209966
666,333,1736277210007
